scenario,CO2 vs. non-CO2,SLCP vs. Kyoto,Species,Sub-Sector,Year,Total Temperature Anomaly,Avoided Warming,BAU Sub-Sector/Species Attributable Warming,Striving Sub-Sector/Species Attributable Warming
ssp119,non-CO2,SLCP,,,1990.0,0.655606800341149,0.0,,
ssp119_BC_TRA_OT_AGR_striving,non-CO2,SLCP,BC,TRA_OT_AGR,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_BC_TRA_OT_CNS_striving,non-CO2,SLCP,BC,TRA_OT_CNS,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_BC_TRA_OT_OTHER_striving,non-CO2,SLCP,BC,TRA_OT_OTHER,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_BC_TRA_OT_RAI_striving,non-CO2,SLCP,BC,TRA_OT_RAI,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CH4_TRA_OT_AGR_striving,non-CO2,Kyoto,CH4,TRA_OT_AGR,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CH4_TRA_OT_CNS_striving,non-CO2,Kyoto,CH4,TRA_OT_CNS,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CH4_TRA_OT_OTHER_striving,non-CO2,Kyoto,CH4,TRA_OT_OTHER,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CH4_TRA_OT_RAI_striving,non-CO2,Kyoto,CH4,TRA_OT_RAI,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CO2 FFI_TRA_OT_AGR_striving,CO2,Kyoto,CO2 FFI,TRA_OT_AGR,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CO2 FFI_TRA_OT_CNS_striving,CO2,Kyoto,CO2 FFI,TRA_OT_CNS,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CO2 FFI_TRA_OT_OTHER_striving,CO2,Kyoto,CO2 FFI,TRA_OT_OTHER,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_CO2 FFI_TRA_OT_RAI_striving,CO2,Kyoto,CO2 FFI,TRA_OT_RAI,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_N2O_TRA_OT_AGR_striving,non-CO2,Kyoto,N2O,TRA_OT_AGR,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_N2O_TRA_OT_CNS_striving,non-CO2,Kyoto,N2O,TRA_OT_CNS,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_N2O_TRA_OT_OTHER_striving,non-CO2,Kyoto,N2O,TRA_OT_OTHER,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119_N2O_TRA_OT_RAI_striving,non-CO2,Kyoto,N2O,TRA_OT_RAI,1990.0,0.655606800341149,0.0,0.0,0.0
ssp119,non-CO2,SLCP,,,1991.0,0.6937643835597026,0.0,,
ssp119_BC_TRA_OT_AGR_striving,non-CO2,SLCP,BC,TRA_OT_AGR,1991.0,0.6937643835597026,0.0,0.0006142198276528621,0.0006142198276528621
ssp119_BC_TRA_OT_CNS_striving,non-CO2,SLCP,BC,TRA_OT_CNS,1991.0,0.6937643835597026,0.0,0.00040595999630055335,0.00040595999630055335
ssp119_BC_TRA_OT_OTHER_striving,non-CO2,SLCP,BC,TRA_OT_OTHER,1991.0,0.6937643835597026,0.0,3.873120971276123e-05,3.873120971276123e-05
ssp119_BC_TRA_OT_RAI_striving,non-CO2,SLCP,BC,TRA_OT_RAI,1991.0,0.6937643835597026,0.0,0.0002266992725765693,0.0002266992725765693
ssp119_CH4_TRA_OT_AGR_striving,non-CO2,Kyoto,CH4,TRA_OT_AGR,1991.0,0.6937643835597026,0.0,2.6616234749976542e-05,2.6616234749976542e-05
ssp119_CH4_TRA_OT_CNS_striving,non-CO2,Kyoto,CH4,TRA_OT_CNS,1991.0,0.6937643835597026,0.0,1.4880622620339068e-05,1.4880622620339068e-05
ssp119_CH4_TRA_OT_OTHER_striving,non-CO2,Kyoto,CH4,TRA_OT_OTHER,1991.0,0.6937643835597026,0.0,6.514423716463824e-06,6.514423716463824e-06
ssp119_CH4_TRA_OT_RAI_striving,non-CO2,Kyoto,CH4,TRA_OT_RAI,1991.0,0.6937643835597026,0.0,1.1224988583746764e-05,1.1224988583746764e-05
ssp119_CO2 FFI_TRA_OT_AGR_striving,CO2,Kyoto,CO2 FFI,TRA_OT_AGR,1991.0,0.6937643835597026,0.0,7.8209319102851e-05,7.8209319102851e-05
ssp119_CO2 FFI_TRA_OT_CNS_striving,CO2,Kyoto,CO2 FFI,TRA_OT_CNS,1991.0,0.6937643835597026,0.0,4.372343195557793e-05,4.372343195557793e-05
ssp119_CO2 FFI_TRA_OT_OTHER_striving,CO2,Kyoto,CO2 FFI,TRA_OT_OTHER,1991.0,0.6937643835597026,0.0,1.8446472504707323e-05,1.8446472504707323e-05
ssp119_CO2 FFI_TRA_OT_RAI_striving,CO2,Kyoto,CO2 FFI,TRA_OT_RAI,1991.0,0.6937643835597026,0.0,3.298229434611777e-05,3.298229434611777e-05
ssp119_N2O_TRA_OT_AGR_striving,non-CO2,Kyoto,N2O,TRA_OT_AGR,1991.0,0.6937643835597026,0.0,1.3933031073332103e-07,1.3933031073332103e-07
ssp119_N2O_TRA_OT_CNS_striving,non-CO2,Kyoto,N2O,TRA_OT_CNS,1991.0,0.6937643835597026,0.0,7.789522771251001e-08,7.789522771251001e-08
ssp119_N2O_TRA_OT_OTHER_striving,non-CO2,Kyoto,N2O,TRA_OT_OTHER,1991.0,0.6937643835597026,0.0,3.286373395638975e-08,3.286373395638975e-08
ssp119_N2O_TRA_OT_RAI_striving,non-CO2,Kyoto,N2O,TRA_OT_RAI,1991.0,0.6937643835597026,0.0,5.875981679004383e-08,5.875981679004383e-08
ssp119,non-CO2,SLCP,,,1992.0,0.6044382477573227,0.0,,
ssp119_BC_TRA_OT_AGR_striving,non-CO2,SLCP,BC,TRA_OT_AGR,1992.0,0.6044382477573227,0.0,0.0011104285315517437,0.0011104285315517437
ssp119_BC_TRA_OT_CNS_striving,non-CO2,SLCP,BC,TRA_OT_CNS,1992.0,0.6044382477573227,0.0,0.0007164015799563384,0.0007164015799563384
ssp119_BC_TRA_OT_OTHER_striving,non-CO2,SLCP,BC,TRA_OT_OTHER,1992.0,0.6044382477573227,0.0,6.545335232965854e-05,6.545335232965854e-05
ssp119_BC_TRA_OT_RAI_striving,non-CO2,SLCP,BC,TRA_OT_RAI,1992.0,0.6044382477573227,0.0,0.0003986229030938926,0.0003986229030938926
ssp119_CH4_TRA_OT_AGR_striving,non-CO2,Kyoto,CH4,TRA_OT_AGR,1992.0,0.6044382477573227,0.0,7.278561341772516e-05,7.278561341772516e-05
ssp119_CH4_TRA_OT_CNS_striving,non-CO2,Kyoto,CH4,TRA_OT_CNS,1992.0,0.6044382477573227,0.0,4.0051502174787146e-05,4.0051502174787146e-05
ssp119_CH4_TRA_OT_OTHER_striving,non-CO2,Kyoto,CH4,TRA_OT_OTHER,1992.0,0.6044382477573227,0.0,1.7635551799455307e-05,1.7635551799455307e-05
ssp119_CH4_TRA_OT_RAI_striving,non-CO2,Kyoto,CH4,TRA_OT_RAI,1992.0,0.6044382477573227,0.0,3.015948051621198e-05,3.015948051621198e-05
ssp119_CO2 FFI_TRA_OT_AGR_striving,CO2,Kyoto,CO2 FFI,TRA_OT_AGR,1992.0,0.6044382477573227,0.0,0.00020837278620822186,0.00020837278620822186
ssp119_CO2 FFI_TRA_OT_CNS_striving,CO2,Kyoto,CO2 FFI,TRA_OT_CNS,1992.0,0.6044382477573227,0.0,0.00011460698525078694,0.00011460698525078694
ssp119_CO2 FFI_TRA_OT_OTHER_striving,CO2,Kyoto,CO2 FFI,TRA_OT_OTHER,1992.0,0.6044382477573227,0.0,4.867110715356393e-05,4.867110715356393e-05
ssp119_CO2 FFI_TRA_OT_RAI_striving,CO2,Kyoto,CO2 FFI,TRA_OT_RAI,1992.0,0.6044382477573227,0.0,8.629695306805463e-05,8.629695306805463e-05
ssp119_N2O_TRA_OT_AGR_striving,non-CO2,Kyoto,N2O,TRA_OT_AGR,1992.0,0.6044382477573227,0.0,3.8763149878828784e-07,3.8763149878828784e-07
ssp119_N2O_TRA_OT_CNS_striving,non-CO2,Kyoto,N2O,TRA_OT_CNS,1992.0,0.6044382477573227,0.0,2.133509624524521e-07,2.133509624524521e-07
ssp119_N2O_TRA_OT_OTHER_striving,non-CO2,Kyoto,N2O,TRA_OT_OTHER,1992.0,0.6044382477573227,0.0,9.058053351829187e-08,9.058053351829187e-08
ssp119_N2O_TRA_OT_RAI_striving,non-CO2,Kyoto,N2O,TRA_OT_RAI,1992.0,0.6044382477573227,0.0,1.6066928354430132e-07,1.6066928354430132e-07
ssp119,non-CO2,SLCP,,,1993.0,0.4313003849517792,0.0,,
