Scenario,CY,RTK,CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,MJ,Fuel (kg),EnRoute,Payload,TechEff,AvoidancePenalty,FuelEff,ConERF
Continuation,2027,1373428630818.567,1202.470929684257,390.6236011866753,0.0063465310441156,0.3770033250452307,0.0077494356750604,4.9696422244524046,1.2768510815868193,0.1431796679017742,1.3623934571958755e-09,5.284168370605492e-12,0.0276154763345312,2.8678673985450595e+17,836311074126.532,35760.98157628614,13704340135896.17,317597685652.2867,0.992027944,0.984111553,0.9414254911527796,1.0,9.978196047746836,34.148821827775386
Continuation,2028,1416574888881.9485,1223.322181981196,398.4034261695791,0.0064729313366355,0.3833969821603369,0.0079037772350997,5.100675114168294,1.3022262011840533,0.1460431769072187,1.3871463033684595e-09,6.235317615343013e-12,0.0281051695350314,2.9186190100035814e+17,856370524299.5116,36902.23727312597,13977281777547.145,323923100290.7797,0.991035916,0.98214333,0.9337779294968834,1.0,9.866955772863452,34.96790292225409
Continuation,2029,1461123777027.9888,1244.739749630712,406.4500415972331,0.006603666550653,0.3899702640586567,0.0080634133738652,5.236517761195757,1.3286364733395049,0.1490142581147772,1.4125947258689483e-09,7.2133737595318156e-12,0.0286105633990468,2.9709485280096454e+17,876875933442.7579,38083.63039190886,14259584003468.725,330465446198.58,0.99004488,0.980179043,0.9263646567240652,1.0,9.759326504475585,35.80519371631622
Continuation,2030,1507120768073.551,1266.7856712690452,414.7370025525537,0.0067383060281776,0.3967430810609229,0.0082278139177545,5.376964254572487,1.355906432239,0.1520731602814852,1.4388102765173383e-09,8.218310797694516e-12,0.0291306963329959,3.024860598011671e+17,897898464726.059,39306.592676712586,14550316875157.424,337203172077.8082,0.989054835,0.978218685,0.9191471657464388,1.0,9.654380181991716,36.66359999284684
Continuation,2031,1554614037789.4392,1287.271819821883,423.2399150674218,0.0068764532534096,0.4030226736704314,0.0083964939142399,5.521813351604085,1.383835419476365,0.155207482072696,1.4630477184189754e-09,9.115783129853711e-12,0.02962413253278,3.076085242353812e+17,918601212142.2512,40572.674783962975,14848646349398.97,344116435198.7125,0.98806578,0.9762622480000002,0.9120722919040786,1.0,9.551339424744157,37.508948637308315
Continuation,2032,1603712739928.9302,1308.2784200971655,431.9586628389279,0.0070181064873357,0.4094590130258168,0.008569451888394,5.671134018471562,1.4124263918027944,0.1584186221553586,1.4878923535537501e-09,1.0036809488532616e-11,0.030129412853818,3.12861160645114e+17,939860483077.9628,41886.744539748666,15154570990088.404,351205148536.34,0.987077715,0.9743097229999998,0.9050852493966178,1.0,9.449679242904804,38.37702162812725
Continuation,2033,1654477250949.481,1329.8064976411335,440.8942670497307,0.0071632824245725,0.4160522533234018,0.0087467086699799,5.825016361206978,1.441674011604115,0.161707636928518,1.5133453785113562e-09,1.0981727181694148e-11,0.0306467135200079,3.182450150639206e+17,961694418802.2644,43250.9861654413,15468128984826.836,358470147534.7406,0.986090637,0.972361104,0.8981723000864995,1.0,9.349254561191396,39.26855972192448
Continuation,2034,1706970475360.061,1351.8963250708184,450.0607493197864,0.007312208953562,0.4228148266622976,0.0089285428526027,5.983722847456333,1.4716197110709857,0.1650802467132772,1.539452634943075e-09,1.1951190012808255e-11,0.0311770815927212,3.237703815056024e+17,984122429715.2196,44667.706352130095,15789814462704.1,365922836351.7536,0.985104546,0.970416382,0.8913462000539225,1.0,9.250197757154217,40.18435549733954
Continuation,2035,1761257959414.4438,1374.3937953539214,459.43470305843886,0.0074639344583028,0.4296910340001489,0.0091137964806567,6.140673088691169,1.5017528995423364,0.1685070546428509,1.5660675142919764e-09,1.2944085280764418e-11,0.0317168566626966,3.293938557725976e+17,1007164552003.3188,46139.33490069011,16118049690423.94,373519551578.334,0.984119442,0.968475549,0.8845671356563752,1.0,9.151441788676216,41.125227085548424
Continuation,2036,1817408084553.2676,1397.1251056970707,468.98232335989087,0.0076179029584634,0.4366489523757385,0.0093017916835985,6.292864683368276,1.531931281466914,0.1719714513167718,1.5930631625361706e-09,1.3959385850873031e-11,0.0322640213311379,3.350903810706864e+17,1030841683591.8898,47668.43614744959,16451642484850.72,381232518703.17,0.983135322,0.966538598,0.8777723683178906,1.0,9.052255585676376,42.09202780483267
Continuation,2037,1875498698283.109,1419.6272954289475,478.5301614131072,0.007771290139689,0.4435278275008339,0.0094890820282158,6.430392232229687,1.561492203310561,0.175397829798359,1.6198416287906891e-09,1.499146365707851e-11,0.0328073442500691,3.407336588215879e+17,1055179499482.354,49258.08197650737,16784503117833.262,388920448157.8539,0.982152187,0.964605521,0.8706747181986038,1.0,8.9493547146678,43.085806034289554
Continuation,2038,1935605785509.6316,1441.517267054234,487.8860534406541,0.0079209677594716,0.4502190530768542,0.0096718495819803,6.542706267468014,1.5897515849733344,0.1787032796915726,1.6458838953909756e-09,1.5978270457463164e-11,0.0333382632625607,3.4622470426799526e+17,1080286620828.4856,50911.22118243678,17109886464780.668,396426839409.7565,0.981170035,0.96267631,0.8629842132246928,1.0,8.839551210721224,44.11099706664897
Continuation,2039,1997810143411.0208,1462.787749664525,497.1047168645934,0.0080678184535969,0.4567127741759894,0.0098511718228051,6.631652292566671,1.616955556935752,0.1819085538184102,1.67124510525063e-09,1.6972834026879087e-11,0.0338572088511925,3.515668390582837e+17,1106106100641.8762,52631.05437940908,17429709560511.766,403795905549.2893,0.980188865,0.960750957,0.854824155661898,1.0,8.724407380749719,45.16527560379999
Continuation,2040,2062194763973.4512,1484.3197995382366,506.4840154674456,0.0082166740801579,0.463285862200319,0.0100329420777341,6.710507773841224,1.6443215201817836,0.1851538451425476,1.696923813590268e-09,1.7983826970978218e-11,0.034382617361834,3.5697942904456326e+17,1132663891502.487,54420.88774295637,17754418788220.727,411269487735.2816,0.979208676,0.9588294550000002,0.8466275386763045,1.0,8.60947719312961,46.24970135911543
Continuation,2041,2128846299748.7231,1506.900462475447,516.0995863786136,0.008368757947552,0.4702286069064248,0.0102186549480494,6.786885460635211,1.672045363434116,0.1884680803362518,1.723693926006584e-09,1.8877299557735668e-11,0.0349322106383762,3.626458749106083e+17,1160272420434.4373,56284.21747398708,18086670126028.12,418908843641.3189,0.978229467,0.956911796,0.8385154104347217,1.0,8.495996224886204,47.37703156505444
Continuation,2042,2197817362826.6223,1529.5805906678786,525.821788774086,0.0085219579158207,0.477206607299745,0.0104057297997489,6.85619289347616,1.699726600108098,0.1918066881105169,1.7505901285790303e-09,1.978175576283199e-11,0.0354844392293682,3.683477241825128e+17,1188659522146.7322,58222.557932142125,18421918194328.68,426608313843.0416,0.977251238,0.954997973,0.8302742999141127,1.0,8.38191494248465,48.53615298359187
Continuation,2043,2269199737537.2065,1552.106614923303,535.5639410744317,0.0086748600585063,0.4841424292648866,0.0105924390300203,6.915775790508204,1.727175813841956,0.1951400066157824,1.7773154471601227e-09,2.0693213432326847e-11,0.0360333093966849,3.7402514677691264e+17,1217854615344.287,60239.63585279828,18757094903656.97,434297178477.57794,0.976273987,0.953087977,0.8217669311143772,1.0,8.265951468870828,49.72826685926889
Continuation,2044,2343089256360.2964,1574.1351960805514,545.2072006522498,0.0088255281576968,0.4909307030744888,0.0107764167422671,6.961816145405748,1.754079739905131,0.1984284042420248,1.8034693655339622e-09,2.1606020573024025e-11,0.0365704912883247,3.795965141402742e+17,1247887305303.8423,62339.38882587007,19088022293910.64,441878578289.2113,0.9752977129999998,0.9511818009999998,0.812818949959164,1.0,8.146519490069089,50.954582054854235
Continuation,2045,2419586014446.908,1595.6352991349086,554.7394035881213,0.0089737590291081,0.4975635521693534,0.0109574109927441,6.990251025635684,1.7813663710030132,0.2016750903754409,1.8290083318413831e-09,2.251839899244369e-11,0.0370960949554456,3.850594004666704e+17,1278798726015.5515,64525.98331337295,19413944330700.395,449342377602.0103,0.974322415,0.949279437,0.8033956351405459,1.0,8.023663641128385,52.216778181373364
Continuation,2046,2498794533767.663,1616.0267889554464,563.9573853604472,0.0091162483374231,0.5038602855483852,0.011131390689714,6.997091858297655,1.8077428922800576,0.2048170010235367,1.8532547845762078e-09,2.342123616270428e-11,0.0375964956783879,3.9027731470188685e+17,1310609388202.6863,66803.82690228529,19728012544635.992,456523248454.6117,0.973348092,0.947380878,0.7932372925674905,1.0,7.89501188594736,53.51569274661045
Continuation,2047,2580822848331.3564,1635.798085386044,573.0328289644056,0.0092557837078153,0.5099763252956141,0.0113017693730877,6.990511601861132,1.8337779429611647,0.2079224797104138,1.8767673442273976e-09,2.432148591552347e-11,0.0380867008168358,3.953806992248801e+17,1343347675509.13,69177.51739141063,20036243552266.688,463560718789.3192,0.972374744,0.945486116,0.7826332245344625,1.0,7.763509829906077,54.85248473079158
